,id,beta,Date,marketcap,type
2519,BTC,0.6374280640805249,2018-10-15,110339769845.95999,crypto
2520,BTC,0.6404058406295123,2018-10-16,111557782500.0,crypto
2521,BTC,0.6392279653315269,2018-10-17,111555349061.25,crypto
2522,BTC,0.6340710331500479,2018-10-18,111385835394.72,crypto
2523,BTC,0.6346028300238035,2018-10-19,110661618432.0,crypto
2524,BTC,0.6268923835315797,2018-10-22,111025357116.09,crypto
2525,BTC,0.626843874763643,2018-10-23,110860351568.19,crypto
2526,BTC,0.5911518117548046,2018-10-24,111387047891.77,crypto
2527,BTC,0.5750807799114451,2018-10-25,110990958804.87999,crypto
2528,BTC,0.5646533022301512,2018-10-26,110998413434.75,crypto
2529,BTC,0.5667222237129694,2018-10-29,109824164796.75,crypto
2530,BTC,0.5601036522655466,2018-10-30,108687577814.75,crypto
2531,BTC,0.5643891857197817,2018-10-31,108898050262.5,crypto
2532,BTC,0.5913376731041464,2018-11-01,109509305592.95999,crypto
2533,BTC,0.5632468503878834,2018-11-02,110275767155.5,crypto
2534,BTC,0.5628646751718492,2018-11-05,111205357368.04001,crypto
2535,BTC,0.5592926375993515,2018-11-06,111355491085.0,crypto
2536,BTC,0.5626877817583169,2018-11-07,112981204900.0,crypto
2537,BTC,0.5642335260366017,2018-11-08,112031368912.0,crypto
2538,BTC,0.5670286859036491,2018-11-09,110579107288.86,crypto
2539,BTC,0.5628382783172011,2018-11-12,110319382632.0,crypto
2540,BTC,0.5508944228697399,2018-11-13,109319238525.0,crypto
2541,BTC,0.6001590020777203,2018-11-14,104620005399.86,crypto
2542,BTC,0.6138002532379072,2018-11-15,95497076823.5,crypto
2543,BTC,0.6295650399789067,2018-11-16,96132645810.45999,crypto
2544,BTC,0.7137565044601892,2018-11-19,90449987648.0,crypto
2545,BTC,0.8146765625388301,2018-11-20,78739720078.31999,crypto
2546,BTC,0.8206461271687073,2018-11-21,77309616500.0,crypto
2547,BTC,0.801221496844524,2018-11-23,73885712513.25,crypto
2548,BTC,0.7090638540120603,2018-11-26,66977632519.97,crypto
2549,BTC,0.6977565273298113,2018-11-27,64423326840.57,crypto
2550,BTC,0.8479911512344728,2018-11-28,70640119023.31,crypto
2551,BTC,0.8487645302297876,2018-11-29,73513441333.15,crypto
2552,BTC,0.8324241355823756,2018-11-30,70925215603.25,crypto
2553,BTC,0.7900788020271295,2018-12-03,68327055681.82,crypto
2554,BTC,0.7189712461293875,2018-12-04,67974789032.5,crypto
2555,BTC,0.7164307782976538,2018-12-06,64331193454.0,crypto
2556,BTC,0.7715412608442296,2018-12-07,58478512772.61,crypto
2557,BTC,0.7796148085538376,2018-12-10,60432552405.0,crypto
2558,BTC,0.7790936054651059,2018-12-11,58620986578.38,crypto
2559,BTC,0.7890610798417652,2018-12-12,59166654941.24,crypto
2560,BTC,0.7916779070994375,2018-12-13,58545569783.75,crypto
2561,BTC,0.7999414627513214,2018-12-14,56349484841.25,crypto
2562,BTC,0.6892232090454662,2018-12-17,58090577148.5,crypto
2563,BTC,0.6802161474802266,2018-12-18,61160217010.0,crypto
2564,BTC,0.6287968429902503,2018-12-19,65357703867.5,crypto
2565,BTC,0.5933681474062703,2018-12-20,68417229930.42,crypto
2566,BTC,0.5678303512456413,2018-12-21,69281103754.45999,crypto
2567,BTC,0.4920798213877145,2018-12-24,71967817637.28,crypto
2568,BTC,0.3429678105330263,2018-12-26,65944397086.0,crypto
2569,BTC,0.3273042936949593,2018-12-27,64865081089.5,crypto
2570,BTC,0.3416400238425863,2018-12-28,64588406280.32,crypto
2571,BTC,0.315502638014257,2018-12-31,65574364365.0,crypto
2572,BTC,0.2969795306555617,2019-01-02,66754428000.93,crypto
2573,BTC,0.310422725663624,2019-01-03,66878356097.25,crypto
2574,BTC,0.3013962315656484,2019-01-04,66105781240.04,crypto
2575,BTC,0.3211646384378546,2019-01-07,70281577878.14,crypto
2576,BTC,0.3452940451896892,2019-01-08,70001130242.25,crypto
2577,BTC,0.3398107155481607,2019-01-09,70085399789.22,crypto
2578,BTC,0.3250188575849387,2019-01-10,66340577870.600006,crypto
2579,BTC,0.3246443340012081,2019-01-11,63565003852.7,crypto
2580,BTC,0.333554691771611,2019-01-14,62584127424.93,crypto
2581,BTC,0.3274058259185531,2019-01-15,63666041067.0,crypto
2582,BTC,0.2938901757493135,2019-01-16,63018664870.479996,crypto
2583,BTC,0.2966045642166431,2019-01-17,63013710322.5,crypto
2584,BTC,0.2923915319301234,2019-01-18,63245315499.96,crypto
2585,BTC,0.2556479574737736,2019-01-22,62131660254.399994,crypto
2586,BTC,0.0361149603436784,2019-01-23,62454590415.36,crypto
2587,BTC,0.0027941108865738,2019-01-24,62203214098.00001,crypto
2588,BTC,0.0178155024047011,2019-01-25,62249897272.2,crypto
2589,BTC,0.0534465486378346,2019-01-28,60185485012.5,crypto
2590,BTC,0.0351831398494549,2019-01-29,59509360023.75,crypto
2591,BTC,0.0232166817359396,2019-01-30,59932410305.0,crypto
2592,BTC,0.0242679604297672,2019-01-31,59980853361.0,crypto
2593,BTC,-0.0092854273055972,2019-02-01,59839658937.57,crypto
2594,BTC,-0.0524530996928425,2019-02-04,59817121412.729996,crypto
2595,BTC,-0.0512059454645935,2019-02-05,59894965658.0,crypto
2596,BTC,-0.0094801820586272,2019-02-06,59085380183.5,crypto
2597,BTC,-0.0340771431400636,2019-02-07,59001802597.33,crypto
2598,BTC,-0.0312410073801046,2019-02-08,60504652355.75,crypto
2599,BTC,-0.0274079194618935,2019-02-11,63047364187.5,crypto
2600,BTC,-0.0389614347624468,2019-02-12,62742101663.18,crypto
2601,BTC,-0.0191459752115373,2019-02-13,62831147425.71,crypto
2602,BTC,-0.0190409477744956,2019-02-14,62608937300.0,crypto
2603,BTC,0.0037608189682916,2019-02-15,62639645202.5,crypto
2604,BTC,0.0082840134624459,2019-02-19,68453538890.25,crypto
2605,BTC,-0.0134263046170545,2019-02-20,68632740049.0,crypto
2606,BTC,-0.0050376495984272,2019-02-21,68566694264.64,crypto
2607,BTC,-0.0036347888543067,2019-02-22,68916516778.77,crypto
2608,BTC,0.0014078928019838,2019-02-25,66591081831.0,crypto
2609,BTC,0.0286560869883881,2019-02-26,66726361560.7,crypto
2610,BTC,0.0288235808138615,2019-02-27,66662124285.0,crypto
2611,BTC,0.0307031276870157,2019-02-28,66930733981.159996,crypto
2612,BTC,0.0141951203900437,2019-03-01,66989316240.0,crypto
2613,BTC,0.0187037509058752,2019-03-04,65454115153.5,crypto
2614,BTC,0.0141703384201106,2019-03-05,66183081140.0,crypto
2615,BTC,0.00406402086151,2019-03-06,67479384245.2,crypto
2616,BTC,-0.0027011458032237,2019-03-07,67885665740.100006,crypto
2617,BTC,-0.0038662730479841,2019-03-08,68071880721.24,crypto
2618,BTC,-0.0397634074629569,2019-03-11,67965036818.25,crypto
2619,BTC,-0.0348112336820515,2019-03-12,67660480342.5,crypto
2620,BTC,0.054977512519199,2019-03-13,67782035601.68,crypto
2621,BTC,0.0546246438872962,2019-03-14,67725242997.75,crypto
2622,BTC,0.0583905222941774,2019-03-15,68220938362.5,crypto
2623,BTC,0.1010768914015779,2019-03-18,69853852755.75,crypto
2624,BTC,0.0565541315920053,2019-03-19,69988516597.8,crypto
2625,BTC,0.0180354630372718,2019-03-20,70334609187.0,crypto
2626,BTC,0.053087693141125,2019-03-21,70514658998.5,crypto
2627,BTC,0.0501669329204363,2019-03-22,70091183970.75,crypto
2628,BTC,0.0323207231345305,2019-03-25,69542186175.0,crypto
2629,BTC,0.0326232536685679,2019-03-26,68831599482.36,crypto
2630,BTC,0.0079451788437885,2019-03-27,70342806070.25,crypto
2631,BTC,0.0112490794223587,2019-03-28,70625571564.1,crypto
2632,BTC,-0.0233162198050884,2019-03-29,71495077338.87999,crypto
2633,BTC,-0.0075345395441073,2019-04-01,72713739491.25,crypto
2634,BTC,-0.0056521926533432,2019-04-02,81902843278.75,crypto
2635,BTC,0.0064897362430306,2019-04-03,88812841880.16,crypto
2636,BTC,0.0009569530413711,2019-04-04,87638815650.75,crypto
2637,BTC,0.0136387446826561,2019-04-05,87822877730.64,crypto
2638,BTC,0.0287174878942929,2019-04-08,92449026572.73,crypto
2639,BTC,0.0281973084493757,2019-04-09,92086726780.0,crypto
2640,BTC,0.0765181864082271,2019-04-10,92965516413.00002,crypto
2641,BTC,0.0806811432529276,2019-04-11,90486620947.04001,crypto
2642,BTC,0.0847810278603086,2019-04-12,89050252179.02,crypto
2643,BTC,0.0842122269584271,2019-04-15,90394470131.4,crypto
2644,BTC,0.0943662637536969,2019-04-16,89987132781.0,crypto
2645,BTC,0.0964690304063166,2019-04-17,92113270687.00002,crypto
2646,BTC,0.103297392309902,2019-04-18,92932426531.56,crypto
2647,BTC,0.1109429011616879,2019-04-22,93906677158.79999,crypto
2648,BTC,0.1238447988685014,2019-04-23,97704877634.00002,crypto
2649,BTC,0.1302424646189125,2019-04-24,96916227037.49998,crypto
2650,BTC,0.1292442942442837,2019-04-25,95806637248.0,crypto
2651,BTC,0.1127047674020533,2019-04-26,90990399853.53,crypto
2652,BTC,0.1213659089407696,2019-04-29,91120143651.75,crypto
2653,BTC,0.1250222142700573,2019-04-30,91910046749.75,crypto
2654,BTC,0.1190708676283512,2019-05-01,93773277581.9,crypto
2655,BTC,0.1100350225502415,2019-05-02,94806136088.00002,crypto
2656,BTC,0.1375487664415563,2019-05-03,99328695389.99998,crypto
2657,BTC,0.1342197551214204,2019-05-06,100056315533.49998,crypto
2658,BTC,0.1186916966486551,2019-05-07,103737860679.81999,crypto
2659,BTC,0.1118198977697233,2019-05-08,103405111538.54001,crypto
2660,BTC,0.1040864331290656,2019-05-09,107009809472.6,crypto
2661,BTC,0.1218680664007036,2019-05-10,111328560342.70001,crypto
